user_id,Salad In The Box,SteakHolder,ANWAR BURGER,สมใจ ลูกชิ้นทอด,น้องแนนหมูปิ้ง,ปังเย็น,เครื่องดื่ม ยำผลไม้ ผลไม้,ข้าวแกงชุดอิ่มอร่อย,ตำยำย่าง อาหารอีสาน ลาบยโส,ศิริรัตน์ โจ้ก ข้าวต้ม,ผัดไท หอยทอด ราดหน้า,ข้าวหน้าเป็ด-ข้าวหมูแดง-ข้าวหมูกรอบ,ข้าวยำไก่ย่าง ข้าวมันไก่ 2 สี,แชมป์ฮั้งเพ้ง,ชาย 4 บะหมี่เกี๊ยว,ร้าน 3 ป. ขาหมู อาหารตามสั่ง,อาหารอิสลาม Halal Food,ร้านอาหารตามสั่งอิ่มอร่อย,พินิจโต้รุ่ง,clusters,
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,เลือกเข้าชม ร้าน 3 ป. ขาหมู อาหารตามสั่ง
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,เลือกเข้าชม ร้าน 3 ป. ขาหมู อาหารตามสั่ง
23,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,เลือกเข้าชม ร้าน 3 ป. ขาหมู อาหารตามสั่ง
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,เลือกเข้าชม ร้าน 3 ป. ขาหมู อาหารตามสั่ง
81,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,2,เลือกเข้าชม ร้าน 3 ป. ขาหมู อาหารตามสั่ง
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,เลือกเข้าชม ร้าน 3 ป. ขาหมู อาหารตามสั่ง
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,เลือกเข้าชม ร้าน 3 ป. ขาหมู อาหารตามสั่ง
143,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,เลือกเข้าชม ร้าน 3 ป. ขาหมู อาหารตามสั่ง
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,เลือกชมร้านเฉพาะที่สนใจ
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,เลือกชมไม่กี่ร้าน
62,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,เลือกชมไม่กี่ร้าน
232,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,เลือกชมไม่กี่ร้าน
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,เลือกชมไม่กี่ร้าน
48,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,เลือกชมไม่กี่ร้าน
229,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,3,เลือกชมไม่กี่ร้าน
57,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,3,เลือกชมไม่กี่ร้าน
61,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,เลือกชมไม่กี่ร้าน
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,เลือกชมไม่กี่ร้าน
145,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,3,เลือกชมไม่กี่ร้าน
243,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,เลือกชมไม่กี่ร้าน
269,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,เลือกชมไม่กี่ร้าน
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,เลือกชมไม่กี่ร้าน
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,เลือกชมไม่กี่ร้าน
21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,เลือกชมไม่กี่ร้าน
